,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,대표장르,감독,배우
3547,3478,해안가로의 여행,정보없음,24000,0.00%,3846000,3,554,1,1,일본,일본,정보없음,(주)영화사 진진,15세이상관람가,드라마,구로사와 기요시,"후카츠 에리,아사노 타다노부,아오이 유우"
3548,3478,허니문 호텔 살인사건,2017-04-27,3000,0.00%,141000,3,55,3,3,중국,중국,정보없음,(유)조이앤시네마,15세이상관람가,스릴러,천병철,"김영민,장정초,하윤동,임달화"
3549,3478,휴가,2016-12-08,30000,0.00%,4617700,3,666,1,2,한국,한국,㈜리필름,㈜리필름,12세이상관람가,가족,이수성,"고원,전주우,김예린,손희순"
3550,3478,흠뻑젖은 옆집누나,2022-03-08,3000,0.00%,3000,3,3,1,2,일본,일본,정보없음,(주)픽쳐레스크,청소년관람불가,성인물(에로),정보없음,정보없음
3551,3552,S 중독자의 고백,2011-12-29,2000,0.00%,10140500,2,1286,2,2,스페인,스페인,정보없음,팝엔터테인먼트,청소년관람불가,드라마,크리스티안 몰리나,"베렌 파브라,레오나르도 스바라글리아,르룸 바레라"
3552,3552,SESIFF2022 경쟁10: 도망쳐!,정보없음,12000,0.00%,12000,2,2,1,2,기타,기타,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3553,3552,SESIFF2022 경쟁8: 우리가 모르는 척하는 것,정보없음,16000,0.00%,16000,2,2,1,2,기타,기타,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3554,3552,SESIFF2022 동남아시아 영화 특별전: 미니키노 필름 위크,정보없음,16000,0.00%,16000,2,2,1,1,인도네시아,인도네시아,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3555,3552,SESIFF2022 문화다양성 특별전,정보없음,16000,0.00%,16000,2,2,1,1,기타,기타,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3556,3552,SICFF2022 넥스트 제너레이션 2,정보없음,14000,0.00%,14000,2,2,1,2,기타,기타,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3557,3552,SICFF2022 씨네키즈 5 플러스 2,정보없음,14000,0.00%,14000,2,2,1,1,기타,기타,정보없음,정보없음,정보없음,애니메이션,정보없음,정보없음
3558,3552,SICFF2022 키즈 크리에이티브 1,정보없음,14000,0.00%,14000,2,2,1,1,기타,기타,정보없음,정보없음,정보없음,드라마,정보없음,정보없음
3559,3552,SIFFF2022 오감만족 한국단편경선 2,정보없음,16000,0.00%,16000,2,2,1,1,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3560,3552,SIFFF2022 오감만족 한국단편경선 5,정보없음,16000,0.00%,16000,2,2,1,1,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3561,3552,SIPFF2022 오픈 프라이드: 경계를 넘어,정보없음,20000,0.00%,20000,2,2,1,1,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3562,3552,[네마프2022] 확장된 자연 4,정보없음,14000,0.00%,14000,2,2,1,2,독일,독일,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3563,3552,가족의 색깔,2021-10-27,10000,0.00%,13454070,2,1710,1,2,일본,일본,정보없음,(주)영화사 진진,전체관람가,드라마,요시다 야스히로,"쿠니무라 준,아리무라 카스미"
3564,3552,감각의 제국 2 - 사다의 사랑,정보없음,2000,0.00%,10000,2,4,2,2,일본,일본,정보없음,정보없음,청소년관람불가,멜로/로맨스,모치즈키 로쿠로,"나카야마 카즈야,스기모토 아야,우치다 유야"
3565,3552,개미와 베짱이,정보없음,16000,0.00%,16000,2,2,1,1,미국,"미국,기타,영국",정보없음,정보없음,정보없음,다큐멘터리,정보없음,정보없음
3566,3552,거짓말 섹스가 좋아,2013-07-04,2000,0.00%,57000,2,37,2,2,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이세일,"김지원,조동혁,이동준"
3567,3552,고스트 맘마,1996-12-21,2000,0.00%,22000,2,6,2,4,한국,한국,(주)황기성 사단,정보없음,연소자관람불가,멜로/로맨스,한지승,"최진실,김승우,박상아,홍선영,최윤선,이범수,정혜선,조상건,권해효"
3568,3552,그놈의 오일마사지,2022-05-05,2000,0.00%,2000,2,2,1,1,한국,한국,(주)픽쳐레스크,(주)픽쳐레스크,청소년관람불가,성인물(에로),윤신,정보없음
3569,3552,금의위 : 14 검의 비밀,2012-06-14,2000,0.00%,59265000,2,8591,2,2,홍콩,"홍콩,중국",정보없음,(주)팝파트너스,15세이상관람가,액션,이인항,"견자단,조미,홍금보,오존"
3570,3552,깊은 사랑,2012-12-12,2000,0.00%,122000,2,22,2,2,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이세일,"허재호,성현아,조지예"
3571,3552,꽃과 뱀 3,2014-11-20,2000,0.00%,1639000,2,387,2,2,일본,일본,정보없음,스크린조이,청소년관람불가,멜로/로맨스,나리타 유스케,고무카이 미나코
3572,3552,끝내주는 찰떡궁합,2022-09-29,2000,0.00%,2000,2,2,2,2,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,성인물(에로),이가온,정보없음
3573,3552,나만 없는 집,정보없음,6000,0.00%,24000,2,8,1,2,한국,한국,정보없음,정보없음,정보없음,멜로/로맨스,김현정,박지후
3574,3552,너도 먹고 나도 먹고,2022-06-15,12000,0.00%,12000,2,2,1,2,한국,한국,(주)라온컴퍼니플러스,(주)가온콘텐츠,청소년관람불가,성인물(에로),윤수현,정보없음
3575,3552,너도 먹고 나도 먹고 무삭제판,2022-06-15,12000,0.00%,12000,2,2,1,2,한국,한국,(주)라온컴퍼니플러스,(주)가온콘텐츠,청소년관람불가,성인물(에로),윤수현,정보없음
3576,3552,너와 파도를 탈 수 있다면,2020-07-08,22000,0.00%,92990600,2,10709,1,1,일본,일본,정보없음,플러스엠 엔터테인먼트,12세이상관람가,애니메이션,유아사 마사아키,"카타요세 료타,카와에이 리나,마츠모토 호노카,이토 켄타로"
3577,3552,노가다꾼에 길들여진 아내,2022-03-17,2000,0.00%,2000,2,2,1,2,일본,일본,정보없음,(유)조이앤시네마,청소년관람불가,성인물(에로),정보없음,정보없음
3578,3552,누나 또래 새엄마,2022-03-03,2000,0.00%,2000,2,2,1,2,일본,일본,정보없음,(유)조이앤시네마,청소년관람불가,성인물(에로),정보없음,정보없음
3579,3552,닌자 정사2,2013-06-05,2000,0.00%,152000,2,12,1,2,일본,일본,정보없음,(주)케이알씨지,청소년관람불가,드라마,세지오,"타츠미 유이,코다 리리"
3580,3552,닌자: 킬 사무라이,2012-02-24,2000,0.00%,2000,2,2,1,2,미국,미국,정보없음,정보없음,청소년관람불가,액션,아이삭 플로렌틴,"스콧 앳킨스,이하라 츠요시"
3581,3552,닌자정사,2013-04-24,2000,0.00%,152000,2,12,2,2,일본,일본,정보없음,(유)조이앤컨텐츠그룹,청소년관람불가,액션,와타나베 세이키,나나우미 나나
3582,3552,당신은 믿지 않겠지만,2021-10-28,10000,0.00%,53356540,2,6605,1,2,일본,일본,(주)디오시네마,(주)디오시네마,12세이상관람가,드라마,이시이 유야,"이케마츠 소스케,최희서,오다기리 죠,김민재,김예은,김성대"
3583,3552,대구독립영화연말정산 2022 - 단편4,정보없음,16000,0.00%,16000,2,2,1,1,한국,한국,정보없음,정보없음,정보없음,기타,정용훈,정보없음
3584,3552,대호출격,1988-08-13,2000,0.00%,6000,2,3,2,2,홍콩,홍콩,정보없음,정보없음,고등학생이상관람가,액션,유가량,"주윤발,이지,이원패,추용"
3585,3552,더 트랩: 난간 끝에 선 남자,2013-07-25,2000,0.00%,5022000,2,2122,2,2,미국,미국,정보없음,스크린조이,청소년관람불가,스릴러,매튜 채프먼,"리브 타일러,패트릭 윌슨,찰리 허냄,테렌스 하워드"
3586,3552,락아웃: 익스트림미션,2012-06-14,2000,0.00%,3373782000,2,462178,1,2,미국,"미국,프랑스",정보없음,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,SF,"제임스 매더스,스테판 St. 레게르","가이 피어스,매기 그레이스,조셉 길건"
3587,3552,러브 인 프로방스,2015-10-08,24000,0.00%,44333600,2,6172,1,1,프랑스,프랑스,정보없음,주식회사 쇼미미디어앤트레이딩,15세이상관람가,드라마,로젤린 보쉬,"장 르노,안나 갈리에나"
3588,3552,런투유(RUN 2 U),2003-05-23,2000,0.00%,2000,2,2,2,2,한국,한국,(주)나라디지컴,정보없음,15세관람가,드라마,강정수,"야마시타 테츠오,채정안,왕빛나"
3589,3552,레더 하우스,2018-09-30,2000,0.00%,3000,2,3,2,2,이탈리아,이탈리아,정보없음,(유)조이앤시네마,청소년관람불가,공포(호러),마우리지오 델 피콜로,정보없음
3590,3552,레드 아이,2005-02-18,2000,0.00%,1313459500,2,210795,2,2,한국,한국,태창엔터테인먼트(주),영화사청어람(주),12세관람가,공포(호러),김동빈,"송일국,장신영,곽지민,이동규,김혜나,박은선,조용민,하주희,배소연,임지연,오유진,이얼,장소연,이대연,오정세,박효주,최윤슬"
3591,3552,룸녀의 섹스스킬,2022-03-09,2000,0.00%,2000,2,2,1,2,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,성인물(에로),이로운,정보없음
3592,3552,뮤지컬 홀리데이 인,2017-12-20,20000,0.00%,18360900,2,1567,1,1,미국,미국,정보없음,C 무비,전체관람가,공연,데이빗 혼,정보없음
3593,3552,미국의 바람과 불,2012-07-26,12000,0.00%,3872498,2,654,1,1,한국,한국,정보없음,(주)시네마달,15세이상관람가,다큐멘터리,김경만,김경만
3594,3552,미스테리 예고살인,2014-07-23,2000,0.00%,82000,2,22,2,2,미국,미국,정보없음,스크린조이,15세이상관람가,미스터리,루시우스 C. 쿠에트,"로버트 미아노,대니 글로버,마틴 랜도,빌리 제인"
3595,3552,밈 전쟁: 개구리 페페 구하기,정보없음,16000,0.00%,2566000,2,291,1,1,미국,미국,정보없음,주식회사 왓챠,12세이상관람가,다큐멘터리,정보없음,정보없음
3596,3552,발정난가족들,2022-03-07,2000,0.00%,2000,2,2,1,2,한국,한국,에이원 미디어,에이원 미디어,청소년관람불가,성인물(에로),천성준,정보없음
3597,3552,배틀 오브 머신,2022-09-07,2000,0.00%,2000,2,2,2,2,미국,미국,정보없음,(유)조이앤컨텐츠그룹,청소년관람불가,액션,크리스토퍼 해튼,돌프 룬드그렌
3598,3552,벗겨진 옆집여자 무삭제판,2022-11-10,12000,0.00%,12000,2,2,1,2,일본,일본,정보없음,(주)가온콘텐츠,청소년관람불가,성인물(에로),버드맨 텟페이,정보없음
3599,3552,보이지 않는 위협,정보없음,16000,0.00%,16000,2,2,1,1,핀란드,핀란드,정보없음,정보없음,정보없음,다큐멘터리,정보없음,정보없음
3600,3552,빅 아이즈,2015-01-28,24000,0.00%,652467335,2,85388,1,1,미국,미국,정보없음,판씨네마(주),12세이상관람가,드라마,팀 버튼,"에이미 아담스,크리스토프 왈츠"
3601,3552,새엄마가 빨아준 욕정 무삭제판,2022-11-10,12000,0.00%,12000,2,2,1,2,일본,일본,정보없음,(주)가온콘텐츠,청소년관람불가,성인물(에로),사쿠라비토,정보없음
3602,3552,새엄마는 욕정 수업중 무삭제판,2022-11-10,12000,0.00%,12000,2,2,1,2,일본,일본,정보없음,(주)가온콘텐츠,청소년관람불가,성인물(에로),사쿠라비토,정보없음
3603,3552,섹스하우스 : 파트너 쉐어,2022-05-06,2000,0.00%,2000,2,2,1,1,한국,한국,(주)픽쳐레스크,(주)픽쳐레스크,청소년관람불가,성인물(에로),윤신,정보없음
3604,3552,수호지-귀족영웅 노준의,2022-09-01,2000,0.00%,2000,2,2,2,2,중국,중국,정보없음,스크린조이,15세이상관람가,액션,류신의,정보없음
3605,3552,수호지-명포영웅 호연작,2014-07-29,2000,0.00%,42000,2,12,2,2,중국,중국,정보없음,스크린조이,12세이상관람가,액션,황조권,전소호
3606,3552,수호지-최강무적 탕륭,2015-08-20,2000,0.00%,202000,2,42,2,2,중국,중국,정보없음,주식회사 루믹스미디어,12세이상관람가,액션,류신의,조패
3607,3552,숙명,2008-03-20,2000,0.00%,5680875500,2,846905,2,2,한국,한국,엠케이디케이,CJ ENM,청소년관람불가,드라마,김해곤,"송승헌,권상우,김인권,박한별,임정희,박유택,최재환,노남석,이명호,정우,이승준,이민아,지성"
3608,3552,쉬리,1999-02-13,12000,0.00%,1014000,2,169,1,3,한국,한국,강제규필름,정보없음,15세 미만인 자는 관람할 수 없는 등급,액션,강제규,"한석규,최민식,송강호,김윤진,윤주상,박용우,조덕현,김수로,손호균,황정민,김석주,박은숙,조승연,이필모,박동빈,지대한,송용태,유하복,정세형,남명렬,박지일"
3609,3552,스와핑 세 여자의 목적,2022-05-04,2000,0.00%,2000,2,2,1,1,한국,한국,영화사 레드카펫,주식회사 루믹스미디어,청소년관람불가,성인물(에로),김모리,정보없음
3610,3552,신들의 전쟁,2011-11-10,2000,0.00%,11726684000,2,1338413,2,2,미국,미국,정보없음,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,드라마,타셈 싱,"미키 루크,헨리 카빌,프리다 핀토"
3611,3552,신황제를 위하여,2022-12-19,20000,0.00%,20000,2,2,1,1,한국,한국,㈜리필름,(주)제이앤씨미디어그룹,청소년관람불가,액션,이수성,"서준영,송민경,금광산,남승민,박태진,한창헌,유문치,김세희,이서현,이현아,한민하,오지성,김종주,박원호,윤준호,황성웅,오정환,노경덕,김지호,서세명,이상진,윤진슬"
3612,3552,아내의 원초적 욕망,2022-10-06,2000,0.00%,2000,2,2,2,2,일본,일본,정보없음,(유)조이앤시네마,청소년관람불가,성인물(에로),나기라 겐조,정보없음
3613,3552,아내의 친구를 탐하지 말라,2022-11-24,2000,0.00%,2000,2,2,2,2,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,성인물(에로),이가온,정보없음
3614,3552,아메리칸 사이코 2018,2018-07-07,3000,0.00%,5000,2,4,2,2,미국,미국,정보없음,(유)조이앤시네마,청소년관람불가,스릴러,스튜어트 코넬리,정보없음
3615,3552,아웃레이지 비욘드,정보없음,16000,0.00%,820039,2,119,1,1,일본,일본,정보없음,(주)영화사 진진,청소년관람불가,액션,기타노 다케시,"기타노 다케시,니시다 토시유키,미우라 토모카즈,카세 료"
3616,3552,아이스맨 레져렉션,정보없음,2000,0.00%,2000,2,2,2,2,중국,중국,정보없음,정보없음,정보없음,액션,정보없음,정보없음
3617,3552,아이언스카이 무삭제감독판,정보없음,2000,0.00%,42000,2,12,2,2,호주,호주,정보없음,(주)팝파트너스,15세이상관람가,SF,티모 부오렌솔라,"줄리아 디에체,우도 키에르"
3618,3552,악질경찰,2011-11-10,2000,0.00%,14366500,2,1979,2,2,미국,미국,정보없음,팝엔터테인먼트,청소년관람불가,스릴러,베르너 헤어조그,"니콜라스 케이지,에바 멘데스,발 킬머"
3619,3552,"안녕, 미누",2020-05-27,10000,0.00%,23450500,2,2921,1,3,한국,한국,바른미디어,"영화사 풀,(주)영화사 친구",12세이상관람가,다큐멘터리,지혜원,정보없음
3620,3552,알바트로스,정보없음,7000,0.00%,459000,2,73,1,1,미국,미국,정보없음,정보없음,정보없음,다큐멘터리,정보없음,정보없음
3621,3552,애란,1989-08-12,2000,0.00%,2000,2,2,2,2,한국,한국,정보없음,정보없음,연소자관람불가,멜로/로맨스,이황림,"김구미자,임성민,김종민"
3622,3552,애인 : 스무살 차이,2022-03-10,2000,0.00%,2000,2,2,1,2,일본,일본,정보없음,(유)조이앤시네마,청소년관람불가,성인물(에로),정보없음,정보없음
3623,3552,야설 에이에스엠알,2022-03-18,2000,0.00%,2000,2,2,1,2,한국,한국,(주)픽쳐레스크,(주)티에스앤컴퍼니,청소년관람불가,성인물(에로),김태훈,정보없음
3624,3552,어린 하녀의 목적,2022-07-14,2000,0.00%,2000,2,2,1,2,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,성인물(에로),에로핑,정보없음
3625,3552,어우동: 주인 없는 꽃,2015-01-29,20000,0.00%,68698000,2,13235,1,1,한국,한국,"(유)조이앤컨텐츠그룹,㈜리필름",(주)드림팩트엔터테인먼트,청소년관람불가,멜로/로맨스,이수성,"백도빈,송은채,여욱환,남경읍,이종민,이탁건,임준혁,장현희,정서경,박종환,정지나,조경민,주창욱,서재호,최충열,송유진,천희주,이건우,이광기,김선웅,김아람,이상헌,이성근,황소라,황정훈,황주호,정태성,이봄"
3626,3552,언터처블: 1%의 우정,2012-03-22,12000,0.00%,12741528500,2,1721613,1,1,프랑스,프랑스,정보없음,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,코미디,"올리비에르 나카체,에릭 토레다노","프랑수아 클뤼제,오마 사이"
3627,3552,에이아이 섹스호텔,2022-02-18,2000,0.00%,2000,2,2,1,2,한국,한국,(주)픽쳐레스크,(주)픽쳐레스크,청소년관람불가,성인물(에로),박선호,이채담
3628,3552,연애의 기술,2013-10-30,20000,0.00%,64907000,2,8925,1,1,한국,한국,"㈜리필름,(유)조이앤컨텐츠그룹",(주)팝엔터테인먼트,청소년관람불가,멜로/로맨스,이수성,"홍수아,서지석,한수아,주아성,성지영,송윤아,오승진,이진솔,김명곤,이종우"
3629,3552,오버로드: 11구역,2019-04-25,2000,0.00%,3000,2,3,2,2,캐나다,캐나다,정보없음,(주)케이알씨지,15세이상관람가,공포(호러),레오 셔먼,"로지프 서덜랜드,로버트 스타드로버"
3630,3552,옵티그래프,정보없음,16000,0.00%,1547500,2,266,1,1,한국,한국,정보없음,정보없음,정보없음,다큐멘터리,이원우,정보없음
3631,3552,왕의 이름으로,정보없음,2000,0.00%,5000,2,5,2,2,독일,"독일,캐나다,미국",정보없음,정보없음,정보없음,액션,우베 볼,"제이슨 스타뎀,레이 리오타,릴리 소비에스키"
3632,3552,욕정 채운 수업,2022-03-01,2000,0.00%,2000,2,2,1,2,일본,일본,정보없음,(주)픽쳐레스크,청소년관람불가,성인물(에로),정보없음,정보없음
3633,3552,워리어스 레인보우2: 최후의 결전,2014-07-07,2000,0.00%,42000,2,12,2,2,대만,대만,정보없음,스크린조이,청소년관람불가,전쟁,위덕성,비비안 수
3634,3552,워리어스 레인보우: 항전의 시작,2014-02-20,2000,0.00%,5072000,2,7642,2,2,대만,대만,정보없음,스크린조이,청소년관람불가,드라마,위덕성,비비안 수
3635,3552,유부녀의 첫 맛,2022-02-18,2000,0.00%,2000,2,2,1,2,일본,일본,정보없음,(주)픽쳐레스크,청소년관람불가,성인물(에로),정보없음,정보없음
3636,3552,이스케이프 룸: 공포의 퍼즐,2022-03-16,2000,0.00%,2000,2,2,1,2,미국,미국,정보없음,(주)알이디아이스엔터,15세이상관람가,공포(호러),리즈 고든,오마 구딩
3637,3552,익스트림 No.13,2012-10-03,3000,0.00%,88075516,2,12410,2,2,미국,미국,정보없음,(주)팝파트너스,청소년관람불가,스릴러,겔라 바블루아니,"제이슨 스타뎀,알렉산더 스카스가드,미키 루크,50 센트,레이 윈스톤,샘 라일리"
3638,3552,인천 로컬단편 2 (인디플러스 영화의전당 개관 6주년 기획전),정보없음,10000,0.00%,10000,2,2,1,2,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
3639,3552,인크레더블 손오공,2019-07-18,2000,0.00%,47000,2,47,2,2,중국,중국,정보없음,(주)케이알씨지,15세이상관람가,액션,임자총,정보없음
3640,3552,인투 더 샤크스톰,2018-07-14,2000,0.00%,3000,2,3,2,2,미국,미국,정보없음,(유)조이앤시네마,15세이상관람가,SF,안소니 C. 페란트,정보없음
3641,3552,일진 2,2022-06-25,20000,0.00%,20000,2,2,1,1,한국,한국,㈜리필름,(주)드림팩트엔터테인먼트,청소년관람불가,액션,이수성,"이승용,윤선근,변준우,여주영,지웅배,이재영"
3642,3552,잘하는 남동생,2022-03-09,2000,0.00%,2000,2,2,1,2,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,성인물(에로),이로운,정보없음
3643,3552,쟌다르크,2000-02-19,2000,0.00%,60000,2,31,2,2,미국,미국,고몽,정보없음,18세관람가,사극,뤽 베송,"밀라 요보비치,존 말코비치,페이 더너웨이,더스틴 호프만"
3644,3552,저지드레드 3D,2012-12-06,2000,0.00%,369187000,2,48797,2,2,영국,영국,정보없음,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,SF,피트 트래비스,"칼 어번,제이슨 코프,올리비아 썰비"
3645,3552,전국: 천하영웅의 시대,2013-05-16,2000,0.00%,13960000,2,2940,2,2,중국,중국,정보없음,(유)조이앤컨텐츠그룹,15세이상관람가,액션,금침,"김희선,오진우,손홍뢰"
3646,3552,전망 좋은 방 - 맛있는 섹스2,정보없음,2000,0.00%,2000,2,2,2,2,한국,한국,정보없음,정보없음,청소년관람불가,멜로/로맨스,이세일,"양민영,유반희,손유진,이경민,강영웅"
3647,3552,전장의 묵시록,2014-09-17,2000,0.00%,5250000,2,1123,2,2,폴란드,폴란드,정보없음,스크린조이,청소년관람불가,전쟁,마르신 크르즈스탈로윅스,마신 도로신스키
3648,3552,전쟁 주식회사,2012-03-29,3000,0.00%,403000,2,102,2,2,미국,미국,정보없음,(유)조이앤컨텐츠그룹,청소년관람불가,범죄,조슈아 세프텔,"존 쿠삭,조앤 쿠삭,힐러리 더프,마리사 토메이"
3649,3552,접시꽃 당신,1988-03-19,2000,0.00%,1462000,2,732,2,4,한국,한국,(주)황기성 사단,정보없음,연소자관람불가,멜로/로맨스,박철수,"이보희,이덕화"
3650,3552,조금은 서툰 20대 소라 무삭제,2022-04-12,12000,0.00%,12000,2,2,1,2,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),신승엽,정보없음
3651,3552,지독한 사랑,1996-06-15,8000,0.00%,128000,2,17,1,1,한국,한국,(주)씨네이천,정보없음,연소자관람불가,멜로/로맨스,이명세,"강수연,김갑수,김학철"
3652,3552,채담의섹스일타강의,2022-04-22,2000,0.00%,2000,2,2,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,성인물(에로),김승환,정보없음
3653,3552,첫눈이 사라졌다,2021-10-20,14000,0.00%,60453530,2,8358,1,1,폴란드,폴란드,정보없음,(주)다자인소프트,15세이상관람가,판타지,"마우고시카 슈모프스카,마셀 엔그레르트","알렉 엇가프,마야 오스타쉐브스카,아가타 쿠레샤"
3654,3552,초한지 - 천하대전,2012-01-11,2000,0.00%,710377000,2,94654,2,2,중국,"중국,홍콩",정보없음,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),12세이상관람가,액션,이인항,"여명,유역비,풍소봉,장한위,황추생,안지걸,진소춘"
3655,3552,초한지 - 천하대전 감독판,2013-04-18,2000,0.00%,217000,2,45,2,2,중국,중국,정보없음,(유)조이앤컨텐츠그룹,12세이상관람가,액션,이인항,"여명,풍소봉,유역비"
3656,3552,침묵의 소리,정보없음,16000,0.00%,16000,2,2,1,1,홍콩,홍콩,정보없음,정보없음,정보없음,드라마,얀얀 막,정보없음
3657,3552,컨저링 하우스,2018-07-07,3000,0.00%,5000,2,4,2,2,미국,미국,정보없음,(유)조이앤시네마,15세이상관람가,공포(호러),정보없음,정보없음
3658,3552,코리올라누스: 세기의 라이벌,2013-07-11,2000,0.00%,8724000,2,2311,2,2,영국,영국,정보없음,(주)팝파트너스,15세이상관람가,전쟁,랄프 파인즈,"제라드 버틀러,랄프 파인즈,바네사 레드그레이브"
3659,3552,콜롬비아나,2011-08-31,2000,0.00%,4514884000,2,598367,2,2,미국,"미국,프랑스",정보없음,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",15세이상관람가,액션,올리비에 메가턴,"칼럼 블루,조 샐다나"
3660,3552,쿵푸 허슬: 무적 파이터,2022-05-04,2000,0.00%,2000,2,2,1,1,홍콩,홍콩,정보없음,위드시네마,15세이상관람가,액션,엽영건,"오건호,임자총"
3661,3552,탐욕의 제국,2014-03-06,16000,0.00%,36759400,2,5810,1,1,한국,한국,푸른영상,(주)시네마달,12세이상관람가,다큐멘터리,홍리경,"유영종,이윤정"
3662,3552,톡식 어벤져,2018-10-13,20000,0.00%,8396500,2,619,1,1,미국,미국,정보없음,C 무비,15세이상관람가,뮤지컬,닉 모리스,정보없음
3663,3552,특별한 날,정보없음,20000,0.00%,4390000,2,745,1,2,이탈리아,"이탈리아,캐나다",정보없음,정보없음,정보없음,기타,에토르 스콜라,"소피아 로렌,마르첼로 마스트로얀니"
3664,3552,파친코의 여왕,2013-05-29,2000,0.00%,152000,2,12,2,2,일본,일본,정보없음,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),아이바 토모아키,요시오카 무츠오
3665,3552,판타스틱 씨네클래스 - 잇다,정보없음,14000,0.00%,14000,2,2,1,1,한국,한국,정보없음,정보없음,정보없음,다큐멘터리,정보없음,정보없음
3666,3552,팔당 사람들,정보없음,16000,0.00%,706000,2,140,1,1,한국,한국,정보없음,정보없음,정보없음,다큐멘터리,고은진,정보없음
3667,3552,퍼시픽 모비딕,2013-08-14,2000,0.00%,11792000,2,5272,2,2,미국,미국,정보없음,(주)케이알씨지,15세이상관람가,스릴러,트레이 스톡스,"배리 보스트윅,르네 오코널,아담 그림스"
3668,3552,프롬 파리 위드 러브,2010-03-11,2000,0.00%,2804969500,2,369396,1,2,프랑스,프랑스,유로파 Corp.,㈜케이디미디어,청소년관람불가,액션,피에르 모렐,"존 트라볼타,조나단 리스 마이어스"
3669,3552,하연의 투샷,2022-03-09,2000,0.00%,2000,2,2,1,2,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,성인물(에로),이로운,정보없음
3670,3552,호피와 차돌바위,정보없음,16000,0.00%,20000,2,3,1,2,한국,한국,정보없음,정보없음,정보없음,애니메이션,신동헌,정보없음
3671,3552,흉,정보없음,8000,0.00%,8000,2,2,1,2,한국,한국,정보없음,호우주의보,12세이상관람가,드라마,최정연,심달기
3672,3673,두 번째 엄마2: 엄마의 손님,2022-01-20,1000,0.00%,1000,1,1,1,1,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,성인물(에로),최환,정보없음
3673,3673,폼나게 싸라,2022-04-07,6000,0.00%,6000,1,1,1,1,한국,한국,아우라 필름,케이엘 픽쳐스,청소년관람불가,성인물(에로),마태수,정보없음
3674,3673,18 스토커 연지의 욕구불만,2022-04-27,6000,0.00%,6000,1,1,1,1,한국,한국,아우라 필름,케이엘 픽쳐스,청소년관람불가,성인물(에로),마태수,정보없음
3675,3673,18 업소녀 서율의 섹스수업,2022-04-07,8000,0.00%,8000,1,1,1,1,한국,한국,아우라 필름,케이엘 픽쳐스,청소년관람불가,성인물(에로),마태수,정보없음
3676,3673,18학번 박아라,2022-08-24,1000,0.00%,1000,1,1,1,1,한국,한국,영화사 레드카펫,주식회사 루믹스미디어,청소년관람불가,성인물(에로),한승희,정보없음
3677,3673,2대 1 첫경험,2022-05-30,6000,0.00%,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),김중휘,정보없음
3678,3673,2대 1 첫경험 무삭제,2022-12-05,6000,0.00%,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),김중휘,정보없음
3679,3673,2대1 돈 많은 남자 후리기,2022-12-26,6000,0.00%,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),김혜성,정보없음
3680,3673,2대1 섹스 배달부,2022-06-20,6000,0.00%,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),한대위,정보없음
3681,3673,2대1 여친 팔아먹기,2022-06-20,6000,0.00%,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),김중위,정보없음
