,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,대표장르,감독,배우
804,804,이수,정보없음,794000,0.00%,10798000,397,4969,1,16,프랑스,"프랑스,미국",정보없음,정보없음,15세이상관람가,멜로/로맨스,아나톨레 리바크,"잉그리드 버그만,이브 몽땅,안소니 퍼킨스"
805,804,화이트 크리스마스,정보없음,794000,0.00%,11539000,397,5689,2,20,미국,미국,정보없음,정보없음,정보없음,뮤지컬,마이클 커티즈,"빙 크로스비,대니 케이,로즈마리 클루니"
806,807,그대와 영원히,1958-01-15,928000,0.00%,4883500,394,2382,2,15,한국,한국,삼성영화사,정보없음,정보없음,액션,유현목,"이룡,도금봉,장민호"
807,808,뉴욕으로 간 타잔,정보없음,784000,0.00%,2556000,392,1278,1,16,미국,미국,정보없음,정보없음,정보없음,액션,리처드 소프,"조니 웨이스뮬러,모린 오설리반"
808,808,청춘시련,2022-12-01,3482700,0.00%,3482700,392,392,10,93,대만,대만,정보없음,"(주)씨네필운,시네마 뉴원",청소년관람불가,드라마,정보없음,"임백굉,이목,요애녕"
809,808,황태자의 첫사랑,정보없음,789000,0.00%,27089000,392,12579,1,12,미국,미국,메트로-골드윈-마이어,정보없음,정보없음,드라마,리처드 소프,"앤 블리스,에드몬드 퍼돔"
810,811,밤길,정보없음,857000,0.00%,4122000,391,2002,1,16,미국,미국,유니버셜 픽쳐스,정보없음,정보없음,서부극(웨스턴),제임스 닐슨,"제임스 스튜어트,오디 머피,댄 두리아,다이앤 포스터"
811,812,누구를 위하여 종은 울리나,1972-03-18,833500,0.00%,34485086,390,18957,1,24,미국,미국,파라마운트 픽쳐스,정보없음,미정,드라마,샘 우드,"잉그리드 버그만,게리 쿠퍼"
812,812,지옥화,1958-04-20,819500,0.00%,8987500,390,4170,1,19,한국,한국,서울영화사,정보없음,미정,멜로/로맨스,신상옥,"김학,최은희,조해원"
813,814,원탁의 기사,정보없음,810000,0.00%,17687000,389,8488,1,15,미국,미국,정보없음,정보없음,정보없음,드라마,리처드 소프,"로버트 테일러,에바 가드너"
814,815,유리씨즈,1975-12-27,870000,0.00%,27503000,388,13934,1,19,이탈리아,이탈리아,정보없음,정보없음,정보없음,사극,마리오 카메리니,"실바나 망가노,커크 더글라스,안소니 퀸"
